Country,Injury Severity,Aircraft Damage,Aircraft Category,Make,Model,Amateur Built,Engines Count,Engine Type,Purpose of Flight,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Report Status,Event Date,Latitude,Longitude,Amateur Built Category,Total Passengers,Aircraft Damage Severity,Average Uninjured Rate,Average Fatality Rate,Average Serious Rate,Average Minor Rate,Month
United States,Fatal,Destroyed,Airplane,Mooney,M20C,0,1.0,Reciprocating,Personal,2.0,0.0,4.0,0.0,VMC,Probable Cause,1982-01-23,,,No,6.0,3,0.0,0.3333333333333333,0.0,0.6666666666666666,1
United States,Fatal,Destroyed,Airplane,Beech,A23A,0,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Probable Cause,1982-01-23,,,No,1.0,3,0.0,1.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Piper,PA-32-300,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982-01-23,,,No,1.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,150M,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Probable Cause,1982-01-23,,,No,3.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Piper,PA-34-200T,0,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Probable Cause,1982-01-23,,,No,3.0,2,1.0,0.0,0.0,0.0,1
United States,Fatal,Substantial,Airplane,Piper,PA-28-235,0,1.0,Reciprocating,Personal,2.0,0.0,4.0,0.0,VMC,Probable Cause,1982-01-23,,,No,6.0,2,0.0,0.3333333333333333,0.0,0.6666666666666666,1
United States,Non-Fatal,Substantial,Airplane,Cessna,150H,0,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Probable Cause,1982-01-23,,,No,1.0,2,0.0,0.0,1.0,0.0,1
United States,Fatal,Destroyed,Airplane,Robertson,C-402B,0,2.0,Reciprocating,Personal,7.0,0.0,0.0,0.0,VMC,Probable Cause,1982-01-24,,,No,7.0,3,0.0,1.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,172,0,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,UNK,Probable Cause,1982-01-24,,,No,2.0,2,0.0,0.0,0.0,1.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,172,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Probable Cause,1982-01-24,,,No,4.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,172RG,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,1982-01-24,,,No,2.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,177,0,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982-01-24,,,No,1.0,2,1.0,0.0,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Cessna,182M,0,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,UNK,Probable Cause,1982-01-25,,,No,2.0,3,0.0,1.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,1982-01-26,,,No,2.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Bellanca,7GCBC,0,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982-01-26,,,No,1.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Piper,PA-38-112,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,1982-01-27,,,No,2.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,172H,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982-01-28,,,No,1.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Mooney,M20C,1,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982-01-28,,,Yes,1.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,A185F,0,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,1982-01-28,,,No,2.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Piper,PA-32-260,0,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,1982-01-28,,,No,2.0,2,1.0,0.0,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Cessna,172N,0,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Probable Cause,1982-01-29,,,No,1.0,3,0.0,1.0,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Cessna,150,0,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Probable Cause,1982-01-29,,,No,1.0,3,0.0,1.0,0.0,0.0,1
United States,Incident,Minor,Airplane,Piper,PA-28R-201T,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982-01-30,,,No,1.0,1,1.0,0.0,0.0,0.0,1
